Country Name_x,Gender,p
Algeria,M,0.21428571428571427
Angola,M,0.0
Argentina,F,0.0
Argentina,M,0.5432098765432098
Australia,F,0.2692307692307692
Australia,M,0.15384615384615385
Austria,M,0.41379310344827586
Belgium,M,0.3488372093023256
Bolivia,M,0.0
Brazil,F,0.5882352941176471
Brazil,M,0.6574074074074074
Bulgaria,M,0.11538461538461539
Cameroon,F,0.375
Cameroon,M,0.17391304347826086
Canada,F,0.2962962962962963
Canada,M,0.0
Chile,F,0.3333333333333333
Chile,M,0.3235294117647059
China PR,F,0.48484848484848486
China PR,M,0.0
Chinese Taipei,F,0.25
Colombia,F,0.14285714285714285
Colombia,M,0.4
Costa Rica,F,0.0
Costa Rica,M,0.29411764705882354
Croatia,M,0.4375
Cuba,M,0.3333333333333333
Czech Republic,M,0.3333333333333333
Czechoslovakia,M,0.36666666666666664
Cï¿½te d'Ivoire,M,0.3333333333333333
Denmark,F,0.21428571428571427
Denmark,M,0.5
Ecuador,F,0.0
Ecuador,M,0.4
England,F,0.5769230769230769
England,M,0.41935483870967744
Equatorial Guinea,F,0.0
France,F,0.5263157894736842
France,M,0.47540983606557374
Germany,F,0.6818181818181818
Germany,M,0.6914893617021277
Ghana,F,0.1111111111111111
Ghana,M,0.3333333333333333
Greece,M,0.18181818181818182
Haiti,M,0.0
Honduras,M,0.0
Hungary,M,0.46875
Iran,M,0.14285714285714285
Iraq,M,0.0
Italy,F,0.5
Italy,M,0.5421686746987951
Ivory Coast,F,0.0
Jamaica,F,0.0
Jamaica,M,0.3333333333333333
Japan,F,0.42424242424242425
Japan,M,0.23529411764705882
Korea DPR,M,0.14285714285714285
Korea Republic,M,0.16129032258064516
Mexico,F,0.0
Mexico,M,0.25925925925925924
Morocco,M,0.15384615384615385
Netherlands,F,0.6363636363636364
Netherlands,M,0.5370370370370371
New Zealand,F,0.0
New Zealand,M,0.0
Nigeria,F,0.15384615384615385
Nigeria,M,0.2631578947368421
North Korea,F,0.23076923076923078
Northern Ireland,M,0.23076923076923078
Norway,F,0.6
Norway,M,0.25
Paraguay,M,0.25925925925925924
Peru,M,0.26666666666666666
Poland,M,0.4838709677419355
Portugal,M,0.5
Romania,M,0.38095238095238093
Russia,M,0.2222222222222222
Saudi Arabia,M,0.15384615384615385
Scotland,F,0.0
Scotland,M,0.17391304347826086
Senegal,M,0.4
Serbia,M,0.3333333333333333
Slovakia,M,0.25
Slovenia,M,0.16666666666666666
South Africa,F,0.0
South Africa,M,0.2222222222222222
South Korea,F,0.1
Soviet Union,M,0.4838709677419355
Spain,F,0.14285714285714285
Spain,M,0.4915254237288136
Sweden,F,0.575
Sweden,M,0.34782608695652173
Switzerland,F,0.25
Switzerland,M,0.3235294117647059
Thailand,F,0.16666666666666666
Togo,M,0.0
Tunisia,M,0.08333333333333333
Turkey,M,0.5
USA,M,0.23529411764705882
Ukraine,M,0.4
United States,F,0.8
Uruguay,M,0.38461538461538464
Wales,M,0.2
Yugoslavia,M,0.43243243243243246
Zaire,M,0.0
"rn"">Bosnia and Herzegovina",M,0.3333333333333333
"rn"">Republic of Ireland",M,0.15384615384615385
"rn"">Serbia and Montenegro",M,0.0
"rn"">Trinidad and Tobago",M,0.0
"rn"">United Arab Emirates",M,0.0
